workload,layer_idx,scheme,normalized_area,execution_time_norm,throughput_gops,off_chip_accesses,energy_pJ
TinyBERT,1,Static,1.0,1.0,0.00010168009696969696,147456.0,169345024.0
TinyBERT,1,Double Buffer,1.18,0.76,0.00013378960127591707,132710.4,152829952.0
TinyBERT,1,Unified Buffer,0.86,1.11,9.160369096369095e-05,140083.19999999998,161087487.99999997
TinyBERT,1,Cache-Based,1.35,0.65,0.0001564309184149184,117964.8,136314880.0
TinyBERT,2,Static,1.0,1.0,3.055959198542805e-05,147456.0,169345024.0
TinyBERT,2,Double Buffer,1.18,0.76,4.0209989454510594e-05,132710.4,152829952.0
TinyBERT,2,Unified Buffer,0.86,1.11,2.753116395083608e-05,140083.19999999998,161087487.99999997
TinyBERT,2,Cache-Based,1.35,0.65,4.701475690065854e-05,117964.8,136314880.0
TinyBERT,3,Static,1.0,1.0,2.542002424242424e-05,49152.0,56098816.0
TinyBERT,3,Double Buffer,1.18,0.76,3.3447400318979266e-05,44236.8,50593792.0
TinyBERT,3,Unified Buffer,0.86,1.11,2.2900922740922738e-05,46694.399999999994,53346303.99999999
TinyBERT,3,Cache-Based,1.35,0.65,3.91077296037296e-05,39321.600000000006,45088768.00000001
TinyBERT,4,Static,1.0,1.0,0.00010168009696969696,147456.0,169345024.0
TinyBERT,4,Double Buffer,1.18,0.76,0.00013378960127591707,132710.4,152829952.0
TinyBERT,4,Unified Buffer,0.86,1.11,9.160369096369095e-05,140083.19999999998,161087487.99999997
TinyBERT,4,Cache-Based,1.35,0.65,0.0001564309184149184,117964.8,136314880.0
U-Net,1,Static,1.0,1.0,2.606956906077348e-05,266816.0,300013568.0
U-Net,1,Double Buffer,1.18,0.76,3.4302064553649316e-05,240134.4,270130176.0
U-Net,1,Unified Buffer,0.86,1.11,2.348609825294908e-05,253475.19999999998,285071872.0
U-Net,1,Cache-Based,1.35,0.65,4.010702932426689e-05,213452.80000000002,240246784.00000003
U-Net,2,Static,1.0,1.0,6.450018966253738e-05,270336.0,340525056.0
U-Net,2,Double Buffer,1.18,0.76,8.486867060860181e-05,243302.4,310247424.0
U-Net,2,Unified Buffer,0.86,1.11,5.8108278975258896e-05,256819.19999999998,325386240.0
U-Net,2,Cache-Based,1.35,0.65,9.923106101928825e-05,216268.80000000002,279969792.0
U-Net,3,Static,1.0,1.0,3.2506984714747037e-05,270336.0,340525056.0
U-Net,3,Double Buffer,1.18,0.76,4.277234830887769e-05,243302.4,310247424.0
U-Net,3,Unified Buffer,0.86,1.11,2.928557181508742e-05,256819.19999999998,325386240.0
U-Net,3,Cache-Based,1.35,0.65,5.001074571499544e-05,216268.80000000002,279969792.0
U-Net,4,Static,1.0,1.0,1.6318485248027664e-05,411648.0,498794496.0
U-Net,4,Double Buffer,1.18,0.76,2.1471691115825876e-05,370483.2,452689920.0
U-Net,4,Unified Buffer,0.86,1.11,1.4701338061286185e-05,391065.6,475742208.0
U-Net,4,Cache-Based,1.35,0.65,2.5105361920042564e-05,329318.4,406585344.0
SSD-MobileNet,1,Static,1.0,1.0,2.1709468189233278e-05,53088.0,62785536.0
SSD-MobileNet,1,Double Buffer,1.18,0.76,2.8565089722675367e-05,47779.200000000004,56839680.00000001
SSD-MobileNet,1,Unified Buffer,0.86,1.11,1.955807944975971e-05,50433.6,59812608.0
SSD-MobileNet,1,Cache-Based,1.35,0.65,3.339918182958966e-05,42470.4,50893824.0
SSD-MobileNet,2,Static,1.0,1.0,2.4054812398042413e-05,92928.0,107765760.0
SSD-MobileNet,2,Double Buffer,1.18,0.76,3.165106894479265e-05,83635.2,97357824.0
SSD-MobileNet,2,Unified Buffer,0.86,1.11,2.167100216039857e-05,88281.59999999999,102561791.99999999
SSD-MobileNet,2,Cache-Based,1.35,0.65,3.700740368929602e-05,74342.40000000001,86949888.00000001
SSD-MobileNet,3,Static,1.0,1.0,1.2401682085786375e-05,304512.0,344739840.0
SSD-MobileNet,3,Double Buffer,1.18,0.76,1.6318002744455757e-05,274060.8,310634496.0
SSD-MobileNet,3,Unified Buffer,0.86,1.11,1.1172686563771507e-05,289286.39999999997,327687167.99999994
SSD-MobileNet,3,Cache-Based,1.35,0.65,1.9079510901209808e-05,243609.6,276529152.0
SSD-MobileNet,4,Static,1.0,1.0,4.53516958564716e-06,594432.0,668418048.0
SSD-MobileNet,4,Double Buffer,1.18,0.76,5.967328402167314e-06,534988.8,601841664.0
SSD-MobileNet,4,Unified Buffer,0.86,1.11,4.0857383654478905e-06,564710.4,635129856.0
SSD-MobileNet,4,Cache-Based,1.35,0.65,6.977183977918707e-06,475545.60000000003,535265280.00000006
