workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
EfficientDet-Lite0,1,edet_p3,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,141926.40000000002,2053,1.0,1.795616171456405e-05,1.12,87891520.0
EfficientDet-Lite0,1,edet_p3,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,126720.0,2053,1.0,1.795616171456405e-05,1.0,79462400.0
EfficientDet-Lite0,1,edet_p3,IS,ROW_MAJOR,IS-RM,16,16384,16,4,126720.0,2469,0.83151073309032,1.4930741190765492e-05,1.0,79462400.0
EfficientDet-Lite0,1,edet_p3,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,139392.0,2469,0.83151073309032,1.4930741190765492e-05,1.1,86487040.0
EfficientDet-Lite0,1,edet_p3,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,154598.4,2469,0.83151073309032,1.4930741190765492e-05,1.22,94916160.0
EfficientDet-Lite0,1,edet_p3,WS,ROW_MAJOR,WS-RM,16,16384,16,4,152064.0,51259,0.040051503150666225,7.191712674847344e-07,1.2,93511680.0
EfficientDet-Lite0,1,edet_p3,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,126720.0,51259,0.040051503150666225,7.191712674847344e-07,1.0,79462400.0
EfficientDet-Lite0,1,edet_p3,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,144460.8,51259,0.040051503150666225,7.191712674847344e-07,1.14,89296560.0
EfficientDet-Lite0,2,edet_p4,OS,ROW_MAJOR,OS-RM,16,16384,16,4,76275.2,757,1.0,2.4348745046235137e-05,1.18,56203040.0
EfficientDet-Lite0,2,edet_p4,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,72396.8,757,1.0,2.4348745046235137e-05,1.12,53579440.0
EfficientDet-Lite0,2,edet_p4,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,64640.0,757,1.0,2.4348745046235137e-05,1.0,48332800.0
EfficientDet-Lite0,2,edet_p4,IS,ROW_MAJOR,IS-RM,16,16384,16,4,64640.0,1845,0.4102981029810298,9.990243902439025e-06,1.0,48332800.0
EfficientDet-Lite0,2,edet_p4,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,71104.0,1845,0.4102981029810298,9.990243902439025e-06,1.1,52705280.0
EfficientDet-Lite0,2,edet_p4,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,78860.8,1845,0.4102981029810298,9.990243902439025e-06,1.22,57951920.0
EfficientDet-Lite0,2,edet_p4,WS,ROW_MAJOR,WS-RM,16,16384,16,4,77568.0,16097,0.047027396409268805,1.14505808535752e-06,1.2,57077760.0
EfficientDet-Lite0,2,edet_p4,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,64640.0,16097,0.047027396409268805,1.14505808535752e-06,1.0,48332800.0
EfficientDet-Lite0,2,edet_p4,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,73689.59999999999,16097,0.047027396409268805,1.14505808535752e-06,1.14,54454160.0
EfficientDet-Lite0,3,edet_lat,OS,ROW_MAJOR,OS-RM,16,16384,16,4,65249.28,165,1.0,1.985939393939394e-05,1.18,40065120.0
EfficientDet-Lite0,3,edet_lat,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,61931.520000000004,165,1.0,1.985939393939394e-05,1.12,38069840.0
EfficientDet-Lite0,3,edet_lat,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,55296.0,165,1.0,1.985939393939394e-05,1.0,34078720.0
EfficientDet-Lite0,3,edet_lat,IS,ROW_MAJOR,IS-RM,16,16384,16,4,55296.0,661,0.24962178517397882,4.957337367624811e-06,1.0,34078720.0
EfficientDet-Lite0,3,edet_lat,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,60825.600000000006,661,0.24962178517397882,4.957337367624811e-06,1.1,37404560.0
EfficientDet-Lite0,3,edet_lat,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,67461.12,661,0.24962178517397882,4.957337367624811e-06,1.2200000000000002,41395680.0
EfficientDet-Lite0,3,edet_lat,WS,ROW_MAJOR,WS-RM,16,16384,16,4,66355.2,25621,0.006440029663166934,1.2789508606221459e-07,1.2,40730400.0
