workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
BERT-Large,1,bert_ffn1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,502661.12,293,1.0,0.0002290404914675768,1.18,406532736.0
BERT-Large,1,bert_ffn1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,477102.0800000001,293,1.0,0.0002290404914675768,1.12,386714336.0
BERT-Large,1,bert_ffn1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,425984.0,293,1.0,0.0002290404914675768,1.0,347078656.0
BERT-Large,1,bert_ffn1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,425984.0,16517,0.017739298904159352,4.063017739298904e-06,1.0,347078656.0
BERT-Large,1,bert_ffn1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,468582.4,16517,0.017739298904159352,4.063017739298904e-06,1.1,380108576.0
BERT-Large,1,bert_ffn1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,519700.48,16517,0.017739298904159352,4.063017739298904e-06,1.22,419744816.0
BERT-Large,1,bert_ffn1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,511180.8,33797,0.008669408527384088,1.9856455898452527e-06,1.2,413138496.0
BERT-Large,1,bert_ffn1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,425984.0,33797,0.008669408527384088,1.9856455898452527e-06,1.0,347078656.0
BERT-Large,1,bert_ffn1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,485621.75999999995,33797,0.008669408527384088,1.9856455898452527e-06,1.14,393320656.0
BERT-Large,2,bert_ffn2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,502661.12,1061,1.0,6.325057869934024e-05,1.18,536451056.0
BERT-Large,2,bert_ffn2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,477102.0800000001,1061,1.0,6.325057869934024e-05,1.12,510026896.0
BERT-Large,2,bert_ffn2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,425984.0,1061,1.0,6.325057869934024e-05,1.0,457179136.0
BERT-Large,2,bert_ffn2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,425984.0,16517,0.06423684688502755,4.063017739298904e-06,1.0,457179136.0
BERT-Large,2,bert_ffn2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,468582.4,16517,0.06423684688502755,4.063017739298904e-06,1.1,501219216.0
BERT-Large,2,bert_ffn2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,519700.48,16517,0.06423684688502755,4.063017739298904e-06,1.22,554067536.0
BERT-Large,2,bert_ffn2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,511180.8,132101,0.008031733294978843,5.080117788661706e-07,1.2,545259296.0
BERT-Large,2,bert_ffn2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,425984.0,132101,0.008031733294978843,5.080117788661706e-07,1.0,457179136.0
