workload,layer_idx,casting_scheme,off_chip_accesses,cycles,throughput_gops,energy_pJ
U-Net,4,Hybrid,223627.5628932539,9253,1.6318485248027664e-05,250462870.44044435
SSD-MobileNet,1,Input Multicast,44424.0,1518,8.766735177865612e-06,49754880.0
SSD-MobileNet,1,Weight Multicast,39264.0,11629,1.1443721730157366e-06,43975680.0
SSD-MobileNet,1,Hybrid,32995.03129915361,613,2.1709468189233278e-05,36954435.05505204
SSD-MobileNet,2,Input Multicast,88128.0,4713,3.12870782940802e-06,98703360.0
SSD-MobileNet,2,Weight Multicast,37632.0,6693,2.2031376064545047e-06,42147840.0
SSD-MobileNet,2,Hybrid,39232.38246860261,613,2.4054812398042413e-05,43940268.36483493
SSD-MobileNet,3,Input Multicast,302112.0,18462,7.987000324991875e-07,338365440.0
SSD-MobileNet,3,Weight Multicast,83328.0,4357,3.384347027771402e-06,93327360.0
SSD-MobileNet,3,Hybrid,104740.28557408226,1189,1.2401682085786375e-05,117309119.84297213
SSD-MobileNet,4,Input Multicast,592704.0,36878,2.878906665220457e-07,663828480.0
SSD-MobileNet,4,Weight Multicast,152064.0,4613,2.3015027097333623e-06,170311680.0
SSD-MobileNet,4,Hybrid,197633.39504753306,2341,4.53516958564716e-06,221349402.45323703
